degree=1, radian=0.016602, cos=0.996094, sin=0.024414
degree=2, radian=0.034180, cos=0.996094, sin=0.038086
degree=3, radian=0.051758, cos=0.996094, sin=0.053711
degree=4, radian=0.069336, cos=0.996094, sin=0.067383
degree=5, radian=0.086914, cos=0.992188, sin=0.087891
degree=6, radian=0.104492, cos=0.992188, sin=0.101562
degree=7, radian=0.122070, cos=0.990234, sin=0.117188
degree=8, radian=0.138672, cos=0.990234, sin=0.130859
degree=9, radian=0.156250, cos=0.984375, sin=0.162109
degree=10, radian=0.173828, cos=0.982422, sin=0.177734
degree=11, radian=0.191406, cos=0.980469, sin=0.191406
degree=12, radian=0.208984, cos=0.975586, sin=0.209961
degree=13, radian=0.226562, cos=0.973633, sin=0.223633
degree=14, radian=0.244141, cos=0.969727, sin=0.239258
degree=15, radian=0.261719, cos=0.967773, sin=0.252930
degree=16, radian=0.278320, cos=0.961914, sin=0.268555
degree=17, radian=0.295898, cos=0.954102, sin=0.297852
degree=18, radian=0.313477, cos=0.950195, sin=0.311523
degree=19, radian=0.331055, cos=0.943359, sin=0.322266
degree=20, radian=0.348633, cos=0.939453, sin=0.335938
degree=21, radian=0.366211, cos=0.929688, sin=0.363281
degree=22, radian=0.383789, cos=0.923828, sin=0.378906
degree=23, radian=0.401367, cos=0.917969, sin=0.392578
degree=24, radian=0.417969, cos=0.912109, sin=0.406250
degree=25, radian=0.435547, cos=0.906250, sin=0.419922
degree=26, radian=0.453125, cos=0.897461, sin=0.435547
degree=27, radian=0.470703, cos=0.891602, sin=0.449219
degree=28, radian=0.488281, cos=0.877930, sin=0.476562
degree=29, radian=0.505859, cos=0.869141, sin=0.490234
degree=30, radian=0.523438, cos=0.863281, sin=0.501953
degree=31, radian=0.541016, cos=0.854492, sin=0.515625
degree=32, radian=0.557617, cos=0.846680, sin=0.527344
degree=33, radian=0.575195, cos=0.836914, sin=0.542969
degree=34, radian=0.592773, cos=0.829102, sin=0.554688
degree=35, radian=0.610352, cos=0.821289, sin=0.568359
degree=36, radian=0.627930, cos=0.813477, sin=0.580078
degree=37, radian=0.645508, cos=0.794922, sin=0.604492
degree=38, radian=0.663086, cos=0.785156, sin=0.616211
degree=39, radian=0.680664, cos=0.777344, sin=0.627930
degree=40, radian=0.697266, cos=0.764648, sin=0.641602
degree=41, radian=0.714844, cos=0.754883, sin=0.653320
degree=42, radian=0.732422, cos=0.745117, sin=0.666016
degree=43, radian=0.750000, cos=0.735352, sin=0.675781
degree=44, radian=0.767578, cos=0.714844, sin=0.698242
degree=45, radian=0.785156, cos=0.709961, sin=0.703125
degree=46, radian=0.802734, cos=0.688477, sin=0.724609
degree=47, radian=0.819336, cos=0.675781, sin=0.735352
degree=48, radian=0.836914, cos=0.666016, sin=0.745117
degree=49, radian=0.854492, cos=0.653320, sin=0.754883
degree=50, radian=0.872070, cos=0.641602, sin=0.764648
degree=51, radian=0.889648, cos=0.627930, sin=0.777344
degree=52, radian=0.907227, cos=0.616211, sin=0.785156
degree=53, radian=0.924805, cos=0.604492, sin=0.794922
degree=54, radian=0.942383, cos=0.580078, sin=0.813477
degree=55, radian=0.958984, cos=0.568359, sin=0.821289
degree=56, radian=0.976562, cos=0.554688, sin=0.829102
degree=57, radian=0.994141, cos=0.542969, sin=0.836914
degree=58, radian=1.011719, cos=0.527344, sin=0.846680
degree=59, radian=1.029297, cos=0.515625, sin=0.854492
degree=60, radian=1.046875, cos=0.501953, sin=0.863281
degree=61, radian=1.064453, cos=0.490234, sin=0.869141
degree=62, radian=1.082031, cos=0.462891, sin=0.883789
degree=63, radian=1.098633, cos=0.449219, sin=0.891602
degree=64, radian=1.116211, cos=0.435547, sin=0.897461
degree=65, radian=1.133789, cos=0.419922, sin=0.906250
degree=66, radian=1.151367, cos=0.406250, sin=0.912109
degree=67, radian=1.168945, cos=0.392578, sin=0.917969
degree=68, radian=1.186523, cos=0.378906, sin=0.923828
degree=69, radian=1.204102, cos=0.363281, sin=0.929688
degree=70, radian=1.221680, cos=0.335938, sin=0.939453
degree=71, radian=1.238281, cos=0.322266, sin=0.943359
degree=72, radian=1.255859, cos=0.311523, sin=0.950195
degree=73, radian=1.273438, cos=0.297852, sin=0.954102
degree=74, radian=1.291016, cos=0.268555, sin=0.961914
degree=75, radian=1.308594, cos=0.252930, sin=0.967773
degree=76, radian=1.326172, cos=0.239258, sin=0.969727
degree=77, radian=1.343750, cos=0.223633, sin=0.973633
degree=78, radian=1.361328, cos=0.209961, sin=0.975586
degree=79, radian=1.377930, cos=0.191406, sin=0.980469
degree=80, radian=1.395508, cos=0.177734, sin=0.982422
degree=81, radian=1.413086, cos=0.162109, sin=0.984375
degree=82, radian=1.430664, cos=0.130859, sin=0.990234
degree=83, radian=1.448242, cos=0.117188, sin=0.990234
degree=84, radian=1.465820, cos=0.101562, sin=0.992188
degree=85, radian=1.483398, cos=0.087891, sin=0.992188
degree=86, radian=1.500977, cos=0.067383, sin=0.996094
degree=87, radian=1.517578, cos=0.053711, sin=0.996094
degree=88, radian=1.535156, cos=0.038086, sin=0.996094
degree=89, radian=1.552734, cos=0.024414, sin=0.996094
