degree=1, radian=0.016602, cos=0.996094, sin=0.020508
degree=2, radian=0.034180, cos=0.996094, sin=0.034180
degree=3, radian=0.051758, cos=0.996094, sin=0.051758
degree=4, radian=0.069336, cos=0.996094, sin=0.069336
degree=5, radian=0.086914, cos=0.992188, sin=0.085938
degree=6, radian=0.104492, cos=0.992188, sin=0.103516
degree=7, radian=0.122070, cos=0.990234, sin=0.121094
degree=8, radian=0.138672, cos=0.990234, sin=0.134766
degree=9, radian=0.156250, cos=0.984375, sin=0.158203
degree=10, radian=0.173828, cos=0.982422, sin=0.173828
degree=11, radian=0.191406, cos=0.980469, sin=0.189453
degree=12, radian=0.208984, cos=0.975586, sin=0.208008
degree=13, radian=0.226562, cos=0.973633, sin=0.225586
degree=14, radian=0.244141, cos=0.969727, sin=0.243164
degree=15, radian=0.261719, cos=0.966797, sin=0.256836
degree=16, radian=0.278320, cos=0.960938, sin=0.272461
degree=17, radian=0.295898, cos=0.955078, sin=0.293945
degree=18, radian=0.313477, cos=0.951172, sin=0.309570
degree=19, radian=0.331055, cos=0.942383, sin=0.324219
degree=20, radian=0.348633, cos=0.938477, sin=0.339844
degree=21, radian=0.366211, cos=0.930664, sin=0.359375
degree=22, radian=0.383789, cos=0.924805, sin=0.375000
degree=23, radian=0.401367, cos=0.918945, sin=0.390625
degree=24, radian=0.417969, cos=0.913086, sin=0.404297
degree=25, radian=0.435547, cos=0.905273, sin=0.423828
degree=26, radian=0.453125, cos=0.896484, sin=0.437500
degree=27, radian=0.470703, cos=0.890625, sin=0.453125
degree=28, radian=0.488281, cos=0.878906, sin=0.472656
degree=29, radian=0.505859, cos=0.870117, sin=0.486328
degree=30, radian=0.523438, cos=0.865234, sin=0.500000
degree=31, radian=0.541016, cos=0.855469, sin=0.513672
degree=32, radian=0.557617, cos=0.845703, sin=0.529297
degree=33, radian=0.575195, cos=0.837891, sin=0.541016
degree=34, radian=0.592773, cos=0.828125, sin=0.556641
degree=35, radian=0.610352, cos=0.818359, sin=0.572266
degree=36, radian=0.627930, cos=0.810547, sin=0.583984
degree=37, radian=0.645508, cos=0.797852, sin=0.600586
degree=38, radian=0.663086, cos=0.788086, sin=0.612305
degree=39, radian=0.680664, cos=0.776367, sin=0.629883
degree=40, radian=0.697266, cos=0.765625, sin=0.639648
degree=41, radian=0.714844, cos=0.753906, sin=0.655273
degree=42, radian=0.732422, cos=0.742188, sin=0.668945
degree=43, radian=0.750000, cos=0.732422, sin=0.678711
degree=44, radian=0.767578, cos=0.717773, sin=0.695312
degree=45, radian=0.785156, cos=0.707031, sin=0.706055
degree=46, radian=0.802734, cos=0.691406, sin=0.721680
degree=47, radian=0.819336, cos=0.678711, sin=0.732422
degree=48, radian=0.836914, cos=0.668945, sin=0.742188
degree=49, radian=0.854492, cos=0.655273, sin=0.753906
degree=50, radian=0.872070, cos=0.639648, sin=0.765625
degree=51, radian=0.889648, cos=0.625977, sin=0.778320
degree=52, radian=0.907227, cos=0.612305, sin=0.788086
degree=53, radian=0.924805, cos=0.600586, sin=0.797852
degree=54, radian=0.942383, cos=0.583984, sin=0.810547
degree=55, radian=0.958984, cos=0.572266, sin=0.818359
degree=56, radian=0.976562, cos=0.556641, sin=0.828125
degree=57, radian=0.994141, cos=0.541016, sin=0.837891
degree=58, radian=1.011719, cos=0.529297, sin=0.845703
degree=59, radian=1.029297, cos=0.513672, sin=0.855469
degree=60, radian=1.046875, cos=0.498047, sin=0.865234
degree=61, radian=1.064453, cos=0.486328, sin=0.870117
degree=62, radian=1.082031, cos=0.466797, sin=0.882812
degree=63, radian=1.098633, cos=0.453125, sin=0.890625
degree=64, radian=1.116211, cos=0.437500, sin=0.896484
degree=65, radian=1.133789, cos=0.423828, sin=0.905273
degree=66, radian=1.151367, cos=0.404297, sin=0.913086
degree=67, radian=1.168945, cos=0.390625, sin=0.918945
degree=68, radian=1.186523, cos=0.375000, sin=0.924805
degree=69, radian=1.204102, cos=0.359375, sin=0.930664
degree=70, radian=1.221680, cos=0.339844, sin=0.938477
degree=71, radian=1.238281, cos=0.324219, sin=0.942383
degree=72, radian=1.255859, cos=0.309570, sin=0.951172
degree=73, radian=1.273438, cos=0.293945, sin=0.955078
degree=74, radian=1.291016, cos=0.272461, sin=0.960938
degree=75, radian=1.308594, cos=0.256836, sin=0.966797
degree=76, radian=1.326172, cos=0.241211, sin=0.969727
degree=77, radian=1.343750, cos=0.225586, sin=0.973633
degree=78, radian=1.361328, cos=0.206055, sin=0.975586
degree=79, radian=1.377930, cos=0.189453, sin=0.980469
degree=80, radian=1.395508, cos=0.173828, sin=0.982422
degree=81, radian=1.413086, cos=0.158203, sin=0.984375
degree=82, radian=1.430664, cos=0.134766, sin=0.990234
degree=83, radian=1.448242, cos=0.121094, sin=0.990234
degree=84, radian=1.465820, cos=0.103516, sin=0.992188
degree=85, radian=1.483398, cos=0.085938, sin=0.992188
degree=86, radian=1.500977, cos=0.069336, sin=0.996094
degree=87, radian=1.517578, cos=0.051758, sin=0.996094
degree=88, radian=1.535156, cos=0.034180, sin=0.996094
degree=89, radian=1.552734, cos=0.020508, sin=0.996094
